fichier_retouche,id_drive_source,DateTimeOriginal,timestamp_GPX,ecart_s,latitude,longitude,altitude_m,toponyme_secteur,fichier_SEO,titre,texte_ALT,legende,description,confiance
DSC00946 (2026-03-02T05_35_13.948).jpg,1jjQPdzAMpgfYuOik5KKBFzVollIuZ7Vy,2026:02:25 10:04:48 +01:00,2026-02-25T09:04:42Z,6,39.844494,21.185706,1743,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-cretes-du-pinde-grece-44.jpg,Cretes du pinde — Pinde — Périvoli et Vasilitsa,"Cretes du pinde, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Cretes du pinde dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : cretes du pinde, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC00138 (2026-03-02T05_35_11.881).jpg,1SvtylsgKqIq7LdGT4ZghwVzAIzSj5WED,2026:02:22 19:45:51 +01:00,2026-02-22T17:50:16Z,3335,39.584139,21.123211,1136,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-scene-chez-l-habitant-grece-45.jpg,Scene chez l habitant — Tzoumerka — vallée de Matsouki,"Scene chez l habitant, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Scene chez l habitant dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : scene chez l habitant, dans le secteur tzoumerka — vallée de matsouki.",moyenne
DSC00148 (2026-03-02T05_35_12.865).jpg,1wRxPlykcg3BwURa6c2GkuAf7vccp19Ku,2026:02:22 19:48:21 +01:00,2026-02-22T17:50:16Z,3485,39.584139,21.123211,1136,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-toast-apres-la-journee-grece-46.jpg,Toast apres la journee — Tzoumerka — vallée de Matsouki,"Toast apres la journee, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Toast apres la journee dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : toast apres la journee, dans le secteur tzoumerka — vallée de matsouki.",moyenne
DSC00086 (2026-03-02T05_35_09.740).jpg,1Qyg73Y9NUB1pD-_e8hFi1c4LYJ5Wxs-a,2026:02:22 19:32:59 +01:00,2026-02-22T17:50:16Z,2563,39.584139,21.123211,1136,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-porte-de-pierre-grece-47.jpg,Porte de pierre — Tzoumerka — vallée de Matsouki,"Porte de pierre, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Porte de pierre dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : porte de pierre, dans le secteur tzoumerka — vallée de matsouki.",moyenne
DSC00224 (2026-03-02T05_35_10.977).jpg,1VGQQdTx8REnreQgQxw_68a8VhkyEVERY,2026:02:23 07:07:21 +01:00,2026-02-23T07:27:27Z,4806,39.584080,21.122878,1143,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-portrait-dans-l-epicerie-grece-48.jpg,Portrait dans l epicerie — Tzoumerka — vallée de Matsouki,"Portrait dans l epicerie, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Portrait dans l epicerie dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : portrait dans l epicerie, dans le secteur tzoumerka — vallée de matsouki.",moyenne
DSC00143 (2026-03-02T05_35_08.237).jpg,1aaPgw9YEAn6JGBmX-XdJbO3Geq93IN6X,2026:02:22 19:45:54 +01:00,2026-02-22T17:50:16Z,3338,39.584139,21.123211,1136,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-repas-partage-grece-49.jpg,Repas partage — Tzoumerka — vallée de Matsouki,"Repas partage, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Repas partage dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : repas partage, dans le secteur tzoumerka — vallée de matsouki.",moyenne
DSC00073 (2026-03-02T05_35_05.481).jpg,1l9sQ2IQvoRVTLvg1FXC0RixYjnEEUbqx,2026:02:22 18:34:49 +01:00,2026-02-22T17:42:13Z,444,39.582722,21.124529,1111,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-hotes-au-refuge-grece-50.jpg,Hotes au refuge — Tzoumerka — vallée de Matsouki,"Hotes au refuge, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Hotes au refuge dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : hotes au refuge, dans le secteur tzoumerka — vallée de matsouki.",moyenne
DSC00416 (2026-03-02T05_35_06.858).jpg,1d47X6kPN1EaALS2hhGGURu2TdB5EDMNQ,2026:02:23 13:46:52 +01:00,2026-02-23T12:46:50Z,2,39.632004,21.164841,1582,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-grande-pente-au-dessus-du-vallon-grece-51.jpg,Grande pente au dessus du vallon — Tzoumerka — vallée de Matsouki,"Grande pente au dessus du vallon, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Grande pente au dessus du vallon dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : grande pente au dessus du vallon, dans le secteur tzoumerka — vallée de matsouki.",forte
DSC00239 (2026-03-02T05_35_04.352).jpg,1C-l865ufQfDKqr73vEvVPDgpncFOft-6,2026:02:23 07:27:31 +01:00,2026-02-23T07:27:27Z,3596,39.584080,21.122878,1143,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-epicerie-de-village-grece-52.jpg,Epicerie de village — Tzoumerka — vallée de Matsouki,"Epicerie de village, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Epicerie de village dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : epicerie de village, dans le secteur tzoumerka — vallée de matsouki.",moyenne
DSC00088 (2026-03-02T05_35_02.076).jpg,1ljB3vYIPBFyFC8MpMGeEZRY3153qjv1g,2026:02:22 19:33:09 +01:00,2026-02-22T17:50:16Z,2573,39.584139,21.123211,1136,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-details-d-un-escalier-grece-53.jpg,Details d un escalier — Tzoumerka — vallée de Matsouki,"Details d un escalier, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Details d un escalier dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : details d un escalier, dans le secteur tzoumerka — vallée de matsouki.",moyenne
DSC00008 (2026-03-02T05_34_57.445).jpg,13MNPc3-NvFOUQHYmXJvAu3cVX6dbJ_1J,2026:02:22 16:16:56 +01:00,2026-02-22T15:16:46Z,10,39.569678,21.141222,928,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-interieur-de-maison-grece-54.jpg,Interieur de maison — Tzoumerka — secteur Theodoriana,"Interieur de maison, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Interieur de maison dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : interieur de maison, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC00134 (2026-03-02T05_35_00.884).jpg,1SCpcvo_gitSmnNBb93Z6uIOgmYdWlqwK,2026:02:22 19:43:57 +01:00,2026-02-22T17:50:16Z,3221,39.584139,21.123211,1136,Tzoumerka — vallée de Matsouki,tzoumerka-vallee-de-matsouki-repas-au-village-grece-55.jpg,Repas au village — Tzoumerka — vallée de Matsouki,"Repas au village, tzoumerka — vallée de matsouki, lors d’une itinérance à ski en Grèce.",Repas au village dans les montagnes du tzoumerka — vallée de matsouki.,"Itinérance à ski en Grèce : repas au village, dans le secteur tzoumerka — vallée de matsouki.",moyenne
DSC00017 (2026-03-02T05_34_55.457).jpg,1bKAfQrd37aVI0JZhtJ3aD0PRU3JLSya2,2026:02:22 16:21:13 +01:00,2026-02-22T15:21:11Z,2,39.569949,21.139393,900,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-oratoire-sur-un-arbre-grece-56.jpg,Oratoire sur un arbre — Tzoumerka — secteur Theodoriana,"Oratoire sur un arbre, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Oratoire sur un arbre dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : oratoire sur un arbre, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC09563 (2026-03-02T05_34_51.043).jpg,1cNy4dN3qmacORWoixgD9LfMlQist1j6U,2026:02:22 06:26:18 +01:00,2026-02-22T07:20:51Z,6873,39.448492,21.227715,1033,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-tablee-en-cuisine-grece-57.jpg,Tablee en cuisine — Tzoumerka — secteur Theodoriana,"Tablee en cuisine, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Tablee en cuisine dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : tablee en cuisine, dans le secteur tzoumerka — secteur theodoriana.",moyenne
DSC09860 (2026-03-02T05_34_46.123).jpg,1E8oazYXjAYNDFhbt8inORx1wWE7zMUJ2,2026:02:22 14:09:15 +01:00,2026-02-22T13:09:15Z,0,39.548111,21.179671,1495,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-vallee-montagnarde-grece-58.jpg,Vallee montagnarde — Tzoumerka — secteur Theodoriana,"Vallee montagnarde, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Vallee montagnarde dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : vallee montagnarde, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC09990 (2026-03-02T05_34_44.420).jpg,1_GCLb_ZAFSuqMbvQ9rc2I29uPRRV8d6h,2026:02:22 16:05:04 +01:00,2026-02-22T15:05:01Z,3,39.566980,21.144852,976,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-maison-de-pierre-grece-59.jpg,Maison de pierre — Tzoumerka — secteur Theodoriana,"Maison de pierre, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Maison de pierre dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : maison de pierre, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC09813 (2026-03-02T05_34_42.910).jpg,1Xl2xkb25aFqmKjHlVL7UBTYIIxAE_YoP,2026:02:22 13:38:58 +01:00,2026-02-22T12:39:07Z,9,39.540196,21.182560,1607,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-skis-et-sacs-au-depart-grece-60.jpg,Skis et sacs au depart — Tzoumerka — secteur Theodoriana,"Skis et sacs au depart, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Skis et sacs au depart dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : skis et sacs au depart, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC09869 (2026-03-02T05_34_38.438).jpg,1RzZ_O55adRnNBvbMrQK4qIb5KyfeShyI,2026:02:22 14:21:13 +01:00,2026-02-22T13:21:11Z,2,39.551173,21.173216,1352,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-marche-sur-sentier-de-montagne-grece-61.jpg,Marche sur sentier de montagne — Tzoumerka — secteur Theodoriana,"Marche sur sentier de montagne, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Marche sur sentier de montagne dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : marche sur sentier de montagne, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC09949 (2026-03-02T05_34_34.454).jpg,1fR3V6wtZKHgPKrLAxcW1yr6-_-lFGoTl,2026:02:22 15:45:28 +01:00,2026-02-22T14:45:34Z,6,39.565836,21.153646,963,Tzoumerka — secteur Theodoriana,tzoumerka-secteur-theodoriana-coucher-de-soleil-sur-les-montagnes-grece-62.jpg,Coucher de soleil sur les montagnes — Tzoumerka — secteur Theodoriana,"Coucher de soleil sur les montagnes, tzoumerka — secteur theodoriana, lors d’une itinérance à ski en Grèce.",Coucher de soleil sur les montagnes dans les montagnes du tzoumerka — secteur theodoriana.,"Itinérance à ski en Grèce : coucher de soleil sur les montagnes, dans le secteur tzoumerka — secteur theodoriana.",forte
DSC01242 (1).jpg,1i8l0FQtoX4LrMES53uKuIItcLC-GJMPC,2026:02:25 17:30:39 +01:00,2026-02-25T16:30:39Z,0,39.929210,21.096889,2076,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-cafe-partage-au-refuge-grece-63.jpg,Cafe partage au refuge — Pinde — Périvoli et Vasilitsa,"Cafe partage au refuge, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Cafe partage au refuge dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : cafe partage au refuge, dans le secteur pinde — périvoli et vasilitsa.",forte
DSC01293 (1).jpg,11q_Uz9F9Gjh0U2JwSGnlqmRdjOdIUBZi,2026:02:26 07:17:36 +01:00,2026-02-26T07:21:37Z,3841,39.976566,21.116508,1302,Pinde — Périvoli et Vasilitsa,pinde-perivoli-vasilitsa-retour-en-foret-grece-64.jpg,Retour en foret — Pinde — Périvoli et Vasilitsa,"Retour en foret, pinde — périvoli et vasilitsa, lors d’une itinérance à ski en Grèce.",Retour en foret dans les montagnes du pinde — périvoli et vasilitsa.,"Itinérance à ski en Grèce : retour en foret, dans le secteur pinde — périvoli et vasilitsa.",moyenne
DSC01524 (1).jpg,1UQJ1C9puEvb4YJ15r1OoiI6xrdgpcfbD,2026:02:27 14:07:41 +01:00,2026-02-27T13:07:42Z,1,40.066598,21.023560,1375,Pinde — Vasilitsa et Samarina,pinde-vasilitsa-samarina-randonneur-parmi-les-pins-grece-65.jpg,Randonneur parmi les pins — Pinde — Vasilitsa et Samarina,"Randonneur parmi les pins, pinde — vasilitsa et samarina, lors d’une itinérance à ski en Grèce.",Randonneur parmi les pins dans les montagnes du pinde — vasilitsa et samarina.,"Itinérance à ski en Grèce : randonneur parmi les pins, dans le secteur pinde — vasilitsa et samarina.",forte
